,user_id,screen_name,created_time,id_created_time,followers_count,friends_count,text,lang
42,813124566,_aidaayb,Mon Jul 22 06:56:31 +0000 2019,Sun Sep 09 13:25:48 +0000 2012,2004,2117,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
43,1600317734,Intxnnnnnn_,Mon Jul 22 06:56:29 +0000 2019,Wed Jul 17 07:04:20 +0000 2013,978,910,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
44,1133657476845326336,najainaaaa,Mon Jul 22 06:56:23 +0000 2019,Wed May 29 08:52:59 +0000 2019,24,53,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
45,332666040,summermaplewood,Mon Jul 22 06:56:19 +0000 2019,Sun Jul 10 06:27:21 +0000 2011,2303,898,I need a brown skin Bitch in a baby Benz,en
46,2568256357,YungDreamcaster,Mon Jul 22 06:56:10 +0000 2019,Sun Jun 15 03:23:42 +0000 2014,17,9,Big body benz beep beep when it bakk in,en
49,722377733947334656,wynabieber,Mon Jul 22 06:56:05 +0000 2019,Tue Apr 19 10:54:07 +0000 2016,375,170,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
50,481424056,omondikevinokel,Mon Jul 22 06:56:04 +0000 2019,Thu Feb 02 18:49:12 +0000 2012,951,3165,"@VinieO Captain, what did you just say?
You need to apologize ASAP. It is the Benz that loves Rumba...haha",en
51,309415574,schalyanna,Mon Jul 22 06:56:00 +0000 2019,Thu Jun 02 01:57:28 +0000 2011,52,156,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
52,722015225843752960,ksjkollam,Mon Jul 22 06:55:53 +0000 2019,Mon Apr 18 10:53:39 +0000 2016,878,3103,"RT @KevinSa07052659: I ascend to elsehere on the chariot of old Mercedes-Benz
Into the mandala heart of other
Lined with the holy textures…",en
53,522499402,Les_munches,Mon Jul 22 06:55:52 +0000 2019,Mon Mar 12 19:04:23 +0000 2012,2250,1370,"RT @BrianJDennis: Abuja Big Boy Summary. 

1. White kaftan
2. Business plan
3. Oud perfume
4. Mercedes benz
5. Currently pursuing a contrac…",en
54,994789081711247362,racopter,Mon Jul 22 06:55:52 +0000 2019,Fri May 11 03:59:34 +0000 2018,20,29,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
56,2286111380,bayshabillie,Mon Jul 22 06:55:51 +0000 2019,Sat Jan 11 05:00:38 +0000 2014,1065,1722,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
57,481943503,anees_najwa,Mon Jul 22 06:55:40 +0000 2019,Fri Feb 03 10:42:38 +0000 2012,575,410,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
58,4164014173,sinichitokid,Mon Jul 22 06:55:39 +0000 2019,Sun Nov 08 03:29:33 +0000 2015,158,538,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
59,951412952,Puteri_Natasya2,Mon Jul 22 06:55:39 +0000 2019,Fri Nov 16 10:27:24 +0000 2012,640,735,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
60,1437276979,Iylianasir_,Mon Jul 22 06:55:37 +0000 2019,Sat May 18 03:00:48 +0000 2013,573,24,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
61,861262163335233536,melatijelitaa,Mon Jul 22 06:55:37 +0000 2019,Sun May 07 16:51:16 +0000 2017,415,290,RT @AhmarDeen: Ya Allah replace all my fake friends with Mercedes Benz. Amin !!! https://t.co/82ENTagR7u,en
